type	amount_band	origin_balance_band	total_transactions	fraud_count	fraud_value	fraud_rate_pct
TRANSFER	1K-10K	1K-10K	445	110	593893.5900000001	24.7191
TRANSFER	100K-200K	100K+	7012	514	74459239.15999998	7.3303
TRANSFER	10K-50K	10K-100K	5985	378	11119875.219999999	6.3158
TRANSFER	200K+	100K+	48974	2736	5951722486.1	5.5866
CASH_OUT	0-1K	1-1K	406	21	7019.59	5.1724
TRANSFER	50K-100K	10K-100K	7444	333	24576711.64	4.4734
CASH_OUT	200K+	100K+	101856	2719	5872942469.21	2.6695
CASH_OUT	1K-10K	1K-10K	4781	110	593893.5900000001	2.3008
CASH_OUT	100K-200K	100K+	81272	514	74459239.15999998	0.6324
CASH_OUT	0-1K	0	3472	16	0.0	0.4608
CASH_OUT	10K-50K	10K-100K	86026	378	11119875.219999999	0.4394
CASH_OUT	50K-100K	10K-100K	111395	333	24576711.64	0.2989
TRANSFER	100K-200K	10K-100K	14264	1	123194.95	0.007
CASH_OUT	50K-100K	1K-10K	27792	1	89571.46	0.0036
CASH_OUT	200K+	0	342614	11	3952623.51	0.0032
CASH_OUT	10K-50K	100K+	35381	1	42062.82	0.0028
CASH_OUT	100K-200K	1K-10K	48874	1	132842.64	0.002
CASH_OUT	10K-50K	0	147711	3	103616.8	0.002
TRANSFER	200K+	0	214159	4	4610763.760000001	0.0019
CASH_OUT	100K-200K	0	313619	5	678265.6799999999	0.0016
